id,officer_id,salary,overtime_pay,year,is_fiscal_year
,32741,87775.81,20378.69,2018,true
,32743,89496.91,15839.15,2018,true
,32744,75606.16,22850.28,2018,true
,32745,78630.41,6479.41,2018,true
,32746,78630.41,8492.06,2018,true
,32747,75606.16,671.3,2018,true
,32750,75606.16,1438.5,2018,true
,32752,88301.73,17021.75,2018,true
,32753,75606.16,,2018,true
,32754,65348.49,,2018,true
,32756,75606.16,,2018,true
,32760,78630.41,,2018,true
,32761,78630.41,6210.39,2018,true
,32762,75606.16,16698.59,2018,true
,32764,78630.41,1880.64,2018,true
,32766,75606.16,18667.67,2018,true
,32767,78630.41,3163.63,2018,true
,32768,75606.16,6765.2,2018,true
,32770,78630.41,1046.78,2018,true
,32771,75606.16,18422.24,2018,true
,32772,55553.34,,2018,true
,32773,73482.26,622.7,2018,true
,32775,87775.81,20818.82,2018,true
,32777,72041.43,1886.75,2018,true
,32778,78630.41,470.16,2018,true
,32781,55553.34,,2018,true
,32782,78630.41,,2018,true
,32783,75606.16,4252.32,2018,true
,32785,78630.41,12003.56,2018,true
,32786,75606.16,26989.99,2018,true
,32788,53416.67,,2018,true
,32789,78630.41,4994.27,2018,true
,32790,78630.41,26461.44,2018,true
,32791,78630.41,,2018,true
,32794,62835.09,608.78,2018,true
,32796,78630.41,6842.07,2018,true
,32798,75606.16,13206.91,2018,true
,32799,75606.16,5043.45,2018,true
,32801,97894.58,8835.13,2018,true
,32803,75606.16,1200.93,2018,true
,32806,65348.49,238.76,2018,true
,32807,98962.93,,2018,true
,32808,89496.91,22158.29,2018,true
,32813,140103.08,,2018,true
,32814,89496.91,702.34,2018,true
,32815,140103.08,,2018,true
,32816,75606.16,113.02,2018,true
,32817,78630.41,12223.83,2018,true
,32818,77118.28,,2018,true
,32819,78630.41,19628.17,2018,true
,32820,78630.41,10403.66,2018,true
,32823,72041.43,93.92,2018,true
,32827,65348.49,,2018,true
,32828,75606.16,16147.71,2018,true
,32829,112672.75,9136.78,2018,true
,32831,78630.41,2321.36,2018,true
,32832,78630.41,,2018,true
,32833,77118.28,893.56,2018,true
,32835,99555.9,,2018,true
,32836,88301.73,23330.32,2018,true
,32837,74923.09,4141.66,2018,true
,32838,75606.16,12219.88,2018,true
,32840,90033.13,26276.71,2018,true
,32842,101810.36,10709.67,2018,true
,32843,89496.91,10117.06,2018,true
,32844,72041.43,3583.48,2018,true
,32848,89496.91,351.17,2018,true
,32849,75606.16,12282.97,2018,true
,32850,62835.09,758.44,2018,true
,32852,90033.13,9898.72,2018,true
,32853,90033.13,35800.28,2018,true
,32856,74923.09,2412.46,2018,true
,32858,96020.88,23301.55,2018,true
,32860,90033.13,7122.66,2018,true
,32861,74923.09,1399.85,2018,true
,32862,89496.91,11600.0,2018,true
,32863,90033.13,1342.38,2018,true
,32864,89496.91,5757.87,2018,true
,32867,75606.16,646.08,2018,true
,32868,78630.41,28671.19,2018,true
,32870,75606.16,2839.72,2018,true
,32871,54485.0,82.52,2018,true
,32872,77118.28,2534.41,2018,true
,32873,73482.26,14772.79,2018,true
,32874,96020.88,10823.42,2018,true
,32876,86054.72,11834.11,2018,true
,32877,64091.79,5020.31,2018,true
,32878,78630.41,2206.72,2018,true
,32879,75606.16,762.88,2018,true
,32881,78630.41,2857.63,2018,true
,32882,78630.41,12038.99,2018,true
,32883,78630.41,8962.22,2018,true
,32884,78630.41,6548.08,2018,true
,32885,62835.09,4270.24,2018,true
,32887,78630.41,,2018,true
,32888,89496.91,23573.33,2018,true
,32889,78630.41,2571.08,2018,true
,32891,80520.56,4739.17,2018,true
,32892,78630.41,2380.15,2018,true
,32893,101810.36,33866.34,2018,true
,32894,84376.67,788.25,2018,true
,32895,78630.41,1234.14,2018,true
,32896,75606.16,5057.51,2018,true
,32897,78630.41,293.85,2018,true
,32898,55553.34,,2018,true
,32900,53416.67,161.81,2018,true
,32903,77118.28,9169.25,2018,true
,32905,99555.9,,2018,true
,32906,75606.16,,2018,true
,32908,75606.16,4068.68,2018,true
,32909,78630.41,8374.66,2018,true
,32912,77118.28,,2018,true
,32913,86570.32,25006.55,2018,true
,32914,83280.23,11204.82,2018,true
,32917,78630.41,4245.94,2018,true
,32918,75606.16,7947.53,2018,true
,32919,101810.36,10549.09,2018,true
,32921,75606.16,11866.71,2018,true
,32924,90033.13,20473.12,2018,true
,32926,75606.16,8335.15,2018,true
,32927,78630.41,7317.59,2018,true
,32929,78630.41,7081.89,2018,true
,32930,75606.16,3065.66,2018,true
,32933,90033.13,7301.11,2018,true
,32934,78630.41,50311.72,2018,true
,32935,81647.28,10477.3,2018,true
,32936,90033.13,7872.15,2018,true
,32937,90033.13,7334.59,2018,true
,32938,86570.32,347.43,2018,true
,32940,65348.49,,2018,true
,32941,90033.13,2052.34,2018,true
,32942,120405.08,671.21,2018,true
,32943,78630.41,2141.01,2018,true
,32944,72041.43,1075.12,2018,true
,32945,82754.04,8253.92,2018,true
,32946,75606.16,2006.08,2018,true
,32947,53416.67,153.18,2018,true
,32948,78630.41,8789.06,2018,true
,32949,72041.43,,2018,true
,32950,90033.13,,2018,true
,32951,90033.13,,2018,true
,32954,75606.16,7595.11,2018,true
,32956,53416.67,,2018,true
,32957,75606.16,,2018,true
,32959,101810.36,4736.6,2018,true
,32960,78630.41,8841.45,2018,true
,32961,78630.41,4275.51,2018,true
,32962,78630.41,,2018,true
,32963,55553.34,619.49,2018,true
,32964,53416.67,,2018,true
,32965,89496.91,4322.98,2018,true
,32966,65348.49,1710.03,2018,true
,32967,64091.79,1062.58,2018,true
,32968,77118.28,,2018,true
,32969,78630.41,,2018,true
,32970,75606.16,254.29,2018,true
,32971,87775.81,11360.04,2018,true
,32973,78630.41,7169.77,2018,true
,32974,89496.91,18610.78,2018,true
,32975,78630.41,11387.96,2018,true
,32977,75606.16,,2018,true
,32978,78630.41,440.77,2018,true
,32981,89496.91,15074.65,2018,true
,32982,75606.16,603.41,2018,true
,32983,86570.32,4124.6,2018,true
,32984,86570.32,35575.29,2018,true
,32985,99852.47,26049.19,2018,true
