id,officer id,officer unique identifier,badge number,job title,start date,end date,unit id
508,12449,,21204,PO AS DETECTIVE,,,
509,12450,,4798,POLICE OFFICER,,,
510,12451,,10905,POLICE OFFICER,,,
511,12452,,15116,POLICE OFFICER,,,
512,12453,,21007,PO AS DETECTIVE,,,
513,12454,,1695,SERGEANT OF POLICE,,,
514,12455,,17009,POLICE OFFICER,,,
515,12456,,19073,POLICE OFFICER,,,
516,12457,,4644,POLICE OFFICER,,,
517,12458,,5941,POLICE OFFICER,,,
518,12459,,7610,POLICE OFFICER,,,
519,12460,,12968,POLICE OFFICER,,,
520,12461,,1796,SERGEANT OF POLICE,,,
521,12462,,4760,POLICE OFFICER,,,
522,12463,,15772,POLICE OFFICER,,,
523,12464,,17375,POLICE OFFICER,,,
524,12465,,14465,PO/FIELD TRNING OFF,,,
525,12466,,4802,POLICE OFFICER,,,
526,12467,,2328,SERGEANT OF POLICE,,,
527,12468,,8291,POLICE OFFICER,,,
528,12469,,6769,POLICE OFFICER,,,
529,12470,,19260,P.O. ASSIGNED AS HELICOPTER PILOT,,,
530,12471,,12102,POLICE OFFICER,,,
531,12472,,10927,POLICE OFFICER,,,
532,12472,,8791,POLICE OFFICER,,,
533,12473,,10927,POLICE OFFICER,,,
534,12473,,8791,POLICE OFFICER,,,
535,12474,,14147,POLICE OFFICER,,,
536,12475,,16685,POLICE OFFICER,,,
537,12476,,10237,POLICE OFFICER,,,
538,12477,,2255,SERGEANT OF POLICE,,,
539,12478,,8536,POLICE OFFICER,,,
540,12479,,20396,PO AS DETECTIVE,,,
541,12480,,7367,POLICE OFFICER,,,
542,12481,,2780,POLICE OFFICER,,,
543,12482,,16640,POLICE OFFICER,,,
544,12483,,15937,POLICE OFFICER,,,
545,12484,,4724,POLICE OFFICER,,,
546,12485,,2188,SERGEANT OF POLICE,,,
547,12486,,12695,POLICE OFFICER,,,
548,12487,,18579,POLICE OFFICER,,,
549,12488,,17969,POLICE OFFICER,,,
550,12489,,12220,POLICE OFFICER,,,
551,12490,,18433,POLICE OFFICER,,,
552,12491,,21058,PO AS DETECTIVE,,,
553,12492,,6772,POLICE OFFICER,,,
554,12493,,13848,POLICE OFFICER,,,
555,12494,,20944,PO AS DETECTIVE,,,
556,12495,,1390,SERGEANT OF POLICE,,,
557,12496,,1020,SERGEANT OF POLICE,,,
558,12497,,18267,POLICE OFFICER,,,
559,12498,,5384,POLICE OFFICER,,,
560,12499,,21125,PO AS DETECTIVE,,,
561,12500,,6863,POLICE OFFICER,,,
562,12501,,19562,POLICE OFFICER,,,
563,12502,,6932,POLICE OFFICER,,,
564,12503,,19458,POLICE OFFICER,,,
565,12504,,10591,POLICE OFFICER,,,
566,12505,,2157,SERGEANT OF POLICE,,,
567,12506,,5631,POLICE OFFICER,,,
568,12507,,18855,POLICE OFFICER,,,
569,12508,,8485,POLICE OFFICER,,,
570,12509,,13912,POLICE OFFICER,,,
571,12510,,2004,SERGEANT OF POLICE,,,
572,12511,,12311,POLICE OFFICER,,,
573,12512,,8426,POLICE OFFICER,,,
574,12513,,240,LIEUTENANT OF POLICE,,,
575,12514,,5393,POLICE OFFICER,,,
576,12515,,13839,POLICE OFFICER,,,
577,12516,,2102,SERGEANT OF POLICE,,,
578,12517,,7341,POLICE OFFICER,,,
579,12518,,818,SERGEANT OF POLICE,,,
580,12519,,11095,POLICE OFFICER,,,
581,12520,,16054,POLICE OFFICER,,,
582,12521,,18635,POLICE OFFICER,,,
583,12522,,5313,POLICE OFFICER,,,
584,12523,,14804,POLICE OFFICER,,,
585,12524,,9999,POLICE OFFICER,,,
586,12525,,14679,PO/FIELD TRNING OFF,,,
587,12526,,21769,PO AS DETECTIVE,,,
588,12527,,3215,POLICE OFFICER,,,
589,12528,,,POLICE OFFICER,,,
590,12529,,16188,POLICE OFFICER,,,
591,12530,,,POLICE OFFICER,,,
592,12531,,20200,PO AS DETECTIVE,,,
593,12532,,13777,POLICE OFFICER,,,
594,12533,,17671,POLICE OFFICER,,,
595,12534,,20921,PO AS DETECTIVE,,,
596,12535,,5795,POLICE OFFICER,,,
597,12536,,7700,POLICE OFFICER,,,
